restaurant_name,location,cuisine,cost_for_two,rating,votes,budget_category,online_order,book_table,restaurant_type,highlights,listing_type,city
Thai Chy,Indiranagar,"thai, asian, indonesian",1200,4.3,451,medium,yes,yes,Casual Dining,"Noodles, Watermelon Mint Mojito, Rendang Curry, Laksa, Momos, Dimsum Platter, Mocktails",Delivery,Old Airport Road
Tummy Fuel,Jayanagar,"cafe, beverages, fast food",400,4.2,450,low,yes,no,Cafe,"Sandwiches, Salads, Panipuri, Gol Gappe, Pizza Sandwich, Cheesy Pizza, Pancakes",Delivery,JP Nagar
Cinnamon,Hsr,"north indian, chinese, biryani",550,3.9,450,medium,yes,no,Casual Dining,"Raita, Tandoori Chicken, Egg Chilli, Hakka Noodles, Chicken Taka Tak, Palak Paneer, Veg Pulao",Dine-out,Koramangala 4th Block
Alibaba Cafe and Restaurant,Frazer Town,"arabian, middle eastern",700,3.9,450,medium,yes,no,Casual Dining,"Biryani, Irani Chai, Tea, Lemonade, Mezze Platter, Shawarma, Plain Rice",Delivery,Brigade Road
Sri Udupi Park,Old Airport Road,"south indian, north indian, chinese, beverages",300,3.7,449,low,yes,no,Casual Dining,"Masala Dosa, Filter Coffee, Tea, Kadhai Paneer, Chaat, Panneer Butter Masala, Vada",Dine-out,Old Airport Road
Puliyogare Point,Basavanagudi,south indian,100,4.2,449,low,yes,no,Quick Bites,"Sweet Pongal, Mini Idlis, Filter Coffee, Open Masala Dosa, Pakoda, Vada, Raagi Dosa",Delivery,Jayanagar
Delicacy,Kalyan Nagar,"chinese, thai, momos",500,4.1,449,medium,yes,yes,Casual Dining,"Noodles, Momos, Honey Chilli Potatoes, Wonton, Bbq Pork, Pork Momo, Chilli Basil Chicken",Dine-out,Kammanahalli
Krispy Kreme,Koramangala 7Th Block,"desserts, beverages",300,4.2,449,low,yes,no,Dessert Parlor,"Donut, Coffee, Chocolate Dreamcake, Latte, Cookie Crunch, Hot Chocolate, Cappuccino",Desserts,BTM
D-Zaprino,Sanjay Nagar,"fast food, pizza",400,4.0,449,low,yes,no,"Takeaway, Delivery","Burgers, French Fries, Big Daddy Burger, Maggi, Sweet Corn Pizza, Omelette, Sandwich",Delivery,New BEL Road
Chichaba's Taj,Frazer Town,"biryani, north indian, mughlai",600,3.9,448,medium,yes,no,Casual Dining,"Mutton Biryani, Paya Soup, Bheja Masala, Phirni, Brain Fry, Chicken Kebab, Chicken Grill",Delivery,MG Road
Salut,Jayanagar,"continental, finger food, seafood, pizza",1200,4.1,447,medium,yes,yes,"Pub, Casual Dining","Pesto Pizza, Buffalo Wings, Cocktails, Beer, Egg Ghee Roast, Chicken Chips, Brownie",Delivery,Koramangala 7th Block
